modifierId,baseItemId,rarityVersionKey,sourceKind,sourceCellScope,sourceCellId,targetKind,targetId,targetParameterKey,operation,rawUnits,unitKey,formattedDelta,stackingPolicy,dataMaturity
"array_candidate_i025_orange_famenbuildstage","I025","I025@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:6","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i025_purple_coreeffect","I025","I025@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i025_04","corePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i025_white_stat","I025","I025@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",1,"point","+1点","Additive","BALANCE_CANDIDATE"
"array_candidate_i026_blue_coreeffect","I026","I026@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i026_03","corePayload","AddPercent",250,"basisPoint","+2.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i026_green_randomaffix","I026","I026@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",125,"basisPoint","+1.25%","Additive","BALANCE_CANDIDATE"
"array_candidate_i026_orange_qileibuildstage","I026","I026@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i026_purple_famenbuildstage","I026","I026@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:4","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i026_white_signature","I026","I026@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i026","signaturePayload","AddFlat",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i027_blue_famenbuildstage","I027","I027@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:4","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i027_green_coreeffect","I027","I027@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i027_02","corePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i027_orange_stat","I027","I027@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",5,"point","+5点","Additive","BALANCE_CANDIDATE"
"array_candidate_i027_purple_qileibuildstage","I027","I027@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i027_white_randomaffix","I027","I027@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",100,"basisPoint","+1%","Additive","BALANCE_CANDIDATE"
"array_candidate_i028_blue_qileibuildstage","I028","I028@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i028_green_famenbuildstage","I028","I028@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:2","buildStagePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i028_orange_signature","I028","I028@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i028","signaturePayload","AddFlat",400,"basisPoint","+4%","Additive","BALANCE_CANDIDATE"
"array_candidate_i028_purple_stat","I028","I028@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",4,"point","+4点","Additive","BALANCE_CANDIDATE"
"array_candidate_i028_white_coreeffect","I028","I028@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i028_01","corePayload","AddPercent",150,"basisPoint","+1.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i029_blue_stat","I029","I029@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",3,"point","+3点","Additive","BALANCE_CANDIDATE"
"array_candidate_i029_green_qileibuildstage","I029","I029@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:2","buildStagePayload","ExtraTarget",1,"count","+1次","Additive","BALANCE_CANDIDATE"
"array_candidate_i029_orange_randomaffix","I029","I029@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i029_purple_signature","I029","I029@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i029","signaturePayload","AddFlat",350,"basisPoint","+3.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i029_white_famenbuildstage","I029","I029@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:2","buildStagePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i030_blue_signature","I030","I030@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i030","signaturePayload","AddFlat",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i030_green_stat","I030","I030@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",2,"point","+2点","Additive","BALANCE_CANDIDATE"
"array_candidate_i030_orange_coreeffect","I030","I030@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i030_04","corePayload","AddPercent",350,"basisPoint","+3.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i030_purple_randomaffix","I030","I030@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",175,"basisPoint","+1.75%","Additive","BALANCE_CANDIDATE"
"array_candidate_i030_white_qileibuildstage","I030","I030@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:2","buildStagePayload","ExtraTarget",1,"count","+1次","Additive","BALANCE_CANDIDATE"
